specId,testId,state,code,severity,respTime,url,method,ic,numValid,numInvalid,hasPayload,hasDate,hasDateTime,hasInt32,hasInt64,hasFloat,hasDouble,hasEmpty,hasRange,hasSymbol,hasGreater,hasLower,hasBTrue,hasBFalse,hasSRange,hasLang
2,85,failed,500,2,26,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs/{accountId},GET,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,86,success,200,0,7,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs/{accountId},GET,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,87,failed,500,2,6,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs/{id},DELETE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,88,failed,405,1,5,http://host.docker.internal:11188/api/v1/securityservice/securityConfigs/{id},DELETE,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,89,success,200,0,4,http://host.docker.internal:11188/api/v1/securityservice/welcome,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,90,success,403,0,4,http://host.docker.internal:11188/auditevents?principal={principal}&after={after}&type={type},GET,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,91,success,403,0,5,http://host.docker.internal:11188/auditevents?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,92,success,403,0,5,http://host.docker.internal:11188/auditevents?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,93,success,403,0,5,http://host.docker.internal:11188/auditevents?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,94,success,403,0,5,http://host.docker.internal:11188/auditevents.json?principal={principal}&after={after}&type={type},GET,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,95,success,403,0,5,http://host.docker.internal:11188/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,96,success,403,0,5,http://host.docker.internal:11188/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2,97,success,403,0,4,http://host.docker.internal:11188/auditevents.json?principal={principal}&after={after}&type={type},GET,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,98,success,403,0,5,http://host.docker.internal:11188/autoconfig,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,99,success,403,0,4,http://host.docker.internal:11188/autoconfig.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,success,403,0,5,http://host.docker.internal:11188/beans,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,101,success,403,0,4,http://host.docker.internal:11188/beans.json,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,102,success,403,0,5,http://host.docker.internal:11188/configprops,GET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
