dataset,aux_var,budget,RMSE_top1,RMSE_top2,RMSE_top3,RMedSE_top1,RMedSE_top2,RMedSE_top3,failures_top1,failures_top2,failures_top3,TRMSE-nf_top1,TRMSE-nf_top2,TRMSE-nf_top3,TRMedSE-nf_top1,TRMedSE-nf_top2,TRMedSE-nf_top3
imdbAuxDS,Similarity_Score,400,SRS,SSRS,2-UPS,SSRS,SRS,GBS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
imdbAuxDS,Similarity_Score,800,2-UPS,SSRS,SRS,2-UPS,GBS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Confidence_Score,50,SRS,RHC-S,2-UPS,RHC-S,SUPS,2-UPS,RHC-S,SRS,2-UPS,RHC-S,SRS,2-UPS,RHC-S,2-UPS,SRS
SSTtestAuxDS,Confidence_Score,100,SRS,GBS,RHC-S,SRS,GBS,RHC-S,RHC-S,SRS,GBS,SRS,RHC-S,GBS,SRS,RHC-S,GBS
SSTtestAuxDS,Confidence_Score,200,2-UPS,RHC-S,SRS,RHC-S,GBS,SRS,RHC-S,2-UPS,SRS,RHC-S,2-UPS,SRS,RHC-S,SRS,2-UPS
SSTtestAuxDS,Confidence_Score,400,DeepEST,RHC-S,GBS,SRS,RHC-S,GBS,RHC-S,SRS,2-UPS,RHC-S,GBS,SRS,RHC-S,SRS,GBS
SSTtestAuxDS,Confidence_Score,800,DeepEST,GBS,SRS,RHC-S,SRS,DeepEST,RHC-S,SRS,GBS,SRS,GBS,DeepEST,RHC-S,SRS,2-UPS
SSTtestAuxDS,DSA,50,RHC-S,DeepEST,SRS,RHC-S,DeepEST,GBS,SUPS,DeepEST,GBS,DeepEST,SRS,GBS,DeepEST,SUPS,GBS
SSTtestAuxDS,DSA,100,RHC-S,DeepEST,SRS,DeepEST,RHC-S,GBS,SUPS,SRS,GBS,DeepEST,SRS,GBS,DeepEST,GBS,SUPS
SSTtestAuxDS,DSA,200,RHC-S,DeepEST,GBS,RHC-S,DeepEST,GBS,SUPS,SRS,GBS,GBS,DeepEST,SRS,SUPS,SRS,GBS
SSTtestAuxDS,DSA,400,RHC-S,GBS,SRS,RHC-S,GBS,SRS,SUPS,GBS,SRS,GBS,SRS,DeepEST,GBS,SRS,DeepEST
SSTtestAuxDS,DSA,800,RHC-S,DeepEST,GBS,RHC-S,GBS,DeepEST,SUPS,SRS,GBS,DeepEST,GBS,RHC-S,GBS,DeepEST,RHC-S
SSTtestAuxDS,Prediction_Entropy,50,SUPS,RHC-S,GBS,SRS,SUPS,RHC-S,2-UPS,GBS,SRS,2-UPS,GBS,SRS,2-UPS,SRS,GBS
SSTtestAuxDS,Prediction_Entropy,100,SRS,GBS,SUPS,RHC-S,SRS,SUPS,2-UPS,GBS,SRS,2-UPS,SRS,GBS,2-UPS,SRS,GBS
SSTtestAuxDS,Prediction_Entropy,200,GBS,SRS,RHC-S,GBS,SRS,RHC-S,2-UPS,GBS,SRS,2-UPS,GBS,SRS,GBS,SRS,2-UPS
SSTtestAuxDS,Prediction_Entropy,400,GBS,SRS,DeepEST,SUPS,GBS,DeepEST,2-UPS,GBS,SRS,GBS,SRS,2-UPS,GBS,SRS,2-UPS
SSTtestAuxDS,Prediction_Entropy,800,GBS,DeepEST,RHC-S,RHC-S,GBS,DeepEST,2-UPS,GBS,SRS,GBS,DeepEST,SRS,GBS,RHC-S,DeepEST
SSTtestAuxDS,LSA,50,SUPS,DeepEST,SRS,DeepEST,SUPS,SRS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS
SSTtestAuxDS,LSA,100,SUPS,DeepEST,SRS,SUPS,DeepEST,SRS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS,RHC-S,GBS,2-UPS
SSTtestAuxDS,LSA,200,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,GBS,RHC-S,2-UPS,GBS,RHC-S,2-UPS,GBS,RHC-S,2-UPS
SSTtestAuxDS,LSA,400,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,RHC-S,GBS,2-UPS,RHC-S,GBS,DeepEST,RHC-S,DeepEST,GBS
SSTtestAuxDS,LSA,800,DeepEST,SUPS,SRS,DeepEST,SUPS,SRS,GBS,RHC-S,2-UPS,DeepEST,GBS,RHC-S,DeepEST,GBS,SRS
SSTtestAuxDS,Similarity_Score,50,SSRS,2-UPS,SRS,2-UPS,SRS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Similarity_Score,100,SSRS,SRS,2-UPS,SSRS,SRS,2-UPS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Similarity_Score,200,2-UPS,SRS,SSRS,2-UPS,SSRS,SRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Similarity_Score,400,SRS,2-UPS,SSRS,SRS,2-UPS,SSRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
SSTtestAuxDS,Similarity_Score,800,SSRS,SRS,2-UPS,SSRS,2-UPS,SRS,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST,RHC-S,SUPS,DeepEST
